latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
37.36266,-120.94563,299.5,0.35,0.56,2016-07-22,1040,N,VIIRS,n,1,285.7,4,0
37.31656,-122.0893,298.8,0.6,0.53,2016-07-22,1040,N,VIIRS,n,1,286,1.2,2
37.18274,-121.68018,297.8,0.32,0.55,2016-07-22,1040,N,VIIRS,n,1,283.4,0.3,2
36.81149,-120.383,310.8,0.38,0.59,2016-07-22,1040,N,VIIRS,n,1,287.2,1.1,0
36.81084,-120.38517,312.2,0.38,0.59,2016-07-22,1040,N,VIIRS,n,1,287.7,1.1,0
36.44381,-120.174,300.4,0.4,0.6,2016-07-22,1040,N,VIIRS,n,1,289.2,0.4,0
34.62298,-117.10082,304.4,0.65,0.73,2016-07-22,1041,N,VIIRS,n,1,291.5,1,2
33.43562,-117.44167,344.8,0.51,0.49,2016-07-22,2020,N,VIIRS,l,1,317.4,7.2,0
34.09288,-117.53176,349.4,0.5,0.49,2016-07-22,2020,N,VIIRS,l,1,322.8,15.9,2
34.17609,-119.07865,340.1,0.6,0.53,2016-07-22,2020,N,VIIRS,n,1,307.9,12.5,0
35.38972,-118.89976,346.3,0.55,0.51,2016-07-22,2020,N,VIIRS,l,1,319.9,19.4,0
35.03883,-120.53085,336.7,0.34,0.56,2016-07-22,2020,N,VIIRS,n,1,304.7,1.7,0
36.45469,-121.8969,345.1,0.37,0.58,2016-07-22,2021,N,VIIRS,n,1,299.6,6,0
36.45349,-121.90156,333,0.37,0.58,2016-07-22,2021,N,VIIRS,n,1,298.9,4,0
36.46092,-121.89485,367,0.37,0.58,2016-07-22,2021,N,VIIRS,h,1,325.5,77.2,0
36.45845,-121.90452,344.4,0.37,0.58,2016-07-22,2021,N,VIIRS,n,1,299.4,42.3,0
36.46616,-121.89671,367,0.37,0.58,2016-07-22,2021,N,VIIRS,h,1,309.3,77.2,0
36.46486,-121.90179,267.7,0.37,0.58,2016-07-22,2021,N,VIIRS,l,1,306.9,77.2,0
36.45745,-121.89615,346.8,0.37,0.58,2016-07-22,2021,N,VIIRS,n,1,299.8,77.7,0
36.45623,-121.90076,354.1,0.37,0.58,2016-07-22,2021,N,VIIRS,n,1,316.5,55.2,0
36.46379,-121.89375,367,0.37,0.58,2016-07-22,2021,N,VIIRS,h,1,306.1,77.7,0
36.46245,-121.8989,367,0.37,0.58,2016-07-22,2021,N,VIIRS,h,1,342.5,77.7,0
36.46112,-121.90392,356.6,0.37,0.58,2016-07-22,2021,N,VIIRS,n,1,301.6,55.2,0
38.34423,-122.00684,367,0.34,0.56,2016-07-22,2021,N,VIIRS,h,1,317.2,7.2,0
38.34514,-122.00331,347.8,0.34,0.56,2016-07-22,2021,N,VIIRS,n,1,310.7,7.2,0
38.34918,-122.00894,353,0.34,0.56,2016-07-22,2021,N,VIIRS,n,1,310.9,4,0
38.79206,-121.00593,340.2,0.59,0.53,2016-07-22,2021,N,VIIRS,n,1,309.8,6.2,0
38.79055,-121.00709,341.8,0.59,0.53,2016-07-22,2021,N,VIIRS,n,1,311.4,11.3,0
38.68933,-121.63821,348.2,0.32,0.54,2016-07-22,2021,N,VIIRS,n,1,310.6,2.8,0
39.03435,-122.12312,346.6,0.33,0.55,2016-07-22,2021,N,VIIRS,l,1,321.5,6,0
34.42978,-118.39106,367,0.76,0.77,2016-07-22,2201,N,VIIRS,h,1,319.3,39.7,0
34.42959,-118.39927,354.8,0.76,0.77,2016-07-22,2201,N,VIIRS,n,1,320.7,39.7,0
34.4294,-118.40768,340.9,0.76,0.77,2016-07-22,2201,N,VIIRS,l,1,315.8,16.8,0
34.42355,-118.40097,343.9,0.76,0.77,2016-07-22,2201,N,VIIRS,n,1,316.8,23.5,0
34.43093,-118.39271,367,0.76,0.77,2016-07-22,2201,N,VIIRS,h,1,320.4,71.7,0
34.43078,-118.40105,367,0.76,0.77,2016-07-22,2201,N,VIIRS,h,1,317.6,23.5,0
36.45246,-121.89478,334.6,0.5,0.66,2016-07-22,2201,N,VIIRS,n,1,299.8,5.3,0
36.45226,-121.89973,336.7,0.5,0.66,2016-07-22,2201,N,VIIRS,n,1,303.6,5.5,0
36.45879,-121.89031,367,0.5,0.66,2016-07-22,2201,N,VIIRS,h,1,306.9,76.9,0
36.4586,-121.89491,367,0.5,0.66,2016-07-22,2201,N,VIIRS,h,1,320.7,76.9,0
36.45841,-121.89961,367,0.5,0.66,2016-07-22,2201,N,VIIRS,h,1,309.5,21.9,0
36.46513,-121.8858,367,0.5,0.66,2016-07-22,2201,N,VIIRS,h,1,320.6,227.8,0
36.46493,-121.89057,367,0.5,0.66,2016-07-22,2201,N,VIIRS,h,1,348.5,76.9,0
36.46454,-121.9,367,0.5,0.66,2016-07-22,2201,N,VIIRS,h,1,307.8,21.9,0
36.46474,-121.89534,351.3,0.5,0.66,2016-07-22,2201,N,VIIRS,n,1,314,76.9,0
38.79073,-121.00159,367,0.58,0.7,2016-07-22,2202,N,VIIRS,h,1,315.3,15,0
38.79032,-120.99895,341.4,0.58,0.7,2016-07-22,2202,N,VIIRS,n,1,310.4,8.2,0
38.79019,-121.00564,353.2,0.58,0.7,2016-07-22,2202,N,VIIRS,n,1,315,11.3,0
34.42515,-118.35213,347.4,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,297.2,5.9,0
34.41824,-118.34956,330,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,295.4,5.9,0
34.41803,-118.34237,312.8,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,293.4,5.9,0
34.41114,-118.34077,337.5,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.5,5.1,0
34.41203,-118.37286,311.9,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,293.9,91,0
34.4118,-118.36452,304.9,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,293.1,31.7,0
34.41133,-118.34763,306.5,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,294.5,5.1,0
34.40543,-118.38232,328.6,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,295.3,91,0
34.40515,-118.37214,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,327.9,91,0
34.40489,-118.36234,335.9,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,297.4,31.7,0
34.40405,-118.33169,320.1,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,296.6,4.3,0
34.40469,-118.35505,306.3,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,294.1,31.7,0
34.40424,-118.33856,315.8,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.5,5.1,0
34.40387,-118.32528,314.4,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.4,4.3,0
34.39853,-118.38074,324,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,296.9,26.5,0
34.39827,-118.371,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,308.1,26.5,0
34.39803,-118.36224,348.2,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,306.1,10.6,0
34.39781,-118.35397,326.6,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,301.4,10.6,0
34.39714,-118.32892,367,0.65,0.73,2016-07-23,0842,N,VIIRS,h,1,300.5,14.3,0
34.39695,-118.32188,355.7,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,298.3,14.3,0
34.39758,-118.34536,306.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,294.9,6.2,0
34.39736,-118.33703,310.6,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.7,6.2,0
34.39166,-118.38039,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,298.9,26.5,0
34.39141,-118.371,351.4,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,318,26.5,0
34.39117,-118.36181,340.9,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,306.3,10.6,0
34.39039,-118.33212,328.2,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,297,6.2,0
34.39017,-118.32398,341.2,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,298.9,14.3,0
34.39,-118.31736,328.2,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.2,14.3,0
34.39091,-118.35187,319.3,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,298.7,10.6,0
34.39063,-118.34128,319.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,297,6.2,0
34.3848,-118.38028,333,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,295.8,27.7,0
34.38457,-118.37129,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,314.3,27.7,0
